Date,Region/City,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
2020-03-12,Еврейская автономная область,Jewish Autonomous Region,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Забайкальский край,Zabaykalsky Krai,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ивановская область,Ivanovo region,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Ингушетия,The Republic of Ingushetia,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Иркутская область,Irkutsk region,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Кабардино-Балкарская Республика,Kabardino-Balkar Republic,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Калининградская область,Kaliningrad region,39.0,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-12,Республика Калмыкия,Republic of Kalmykia,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Калужская область,Kaluga region,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Камчатский край,Kamchatka Krai,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Карачаево-Черкесская Республика,Karachay-Cherkess Republic,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Карелия,The Republic of Karelia,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Кемеровская область,Kemerovo region,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Кировская область,Kirov region,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Коми,Komi Republic,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Костромская область,Kostroma region,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Краснодарский край,Krasnodar region,23.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-12,Красноярский край,Krasnoyarsk region,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Крым,Republic of Crimea,82.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Курганская область,Kurgan region,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Курская область,Kursk region,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ленинградская область,Leningrad region,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Липецкая область,Lipetsk region,48.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-03-12,Магаданская область,Magadan Region,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Марий Эл,Mari El Republic,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Мордовия,The Republic of Mordovia,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Москва,Moscow,77.0,4.0,0.0,0.0,21.0,0.0,0.0
2020-03-12,Московская область,Moscow region,50.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-03-12,Мурманская область,Murmansk region,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Нижегородская область,Nizhny Novgorod Region,52.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-12,Новгородская область,Novgorod region,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Новосибирская область,Novosibirsk region,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Омская область,Omsk region,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Оренбургская область,Orenburg region,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Орловская область,Oryol Region,57.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Пензенская область,Penza region,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Пермский край,Perm,59.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Приморский край,Primorsky Krai,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Псковская область,Pskov region,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ростовская область,Rostov region,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Рязанская область,Ryazan Oblast,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Самарская область,Samara Region,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Санкт-Петербург,St. Petersburg,78.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-12,Саратовская область,Saratov region,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Саха (Якутия),The Republic of Sakha (Yakutia),14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Сахалинская область,Sakhalin region,65.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Свердловская область,Sverdlovsk region,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Севастополь,Sevastopol,92.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Северная Осетия - Алания,Republic of North Ossetia - Alania,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Смоленская область,Smolensk region,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ставропольский край,Stavropol region,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Тамбовская область,Tambov Region,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Татарстан,Republic of Tatarstan,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Тверская область,Tver region,69.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Томская область,Tomsk region,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Тульская область,Tula region,71.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Тыва,Tyva Republic,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Тюменская область,Tyumen region,72.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Удмуртская Республика,Udmurt republic,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ульяновская область,Ulyanovsk region,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Хабаровский край,Khabarovsk region,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Хакасия,The Republic of Khakassia,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ханты-Мансийский АО,Khanty-Mansiysk,86.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Челябинская область,Chelyabinsk region,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Чеченская Республика,Chechen Republic,95.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Республика Чувашия,Chuvash Republic,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ямало-Ненецкий АО,Yamalo-Nenets Autonomous Okrug,89.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Ярославская область,Yaroslavl region,76.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Адыгея,Republic of Adygea,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Алтайский край,Altai region,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Амурская область,Amurskaya Oblast,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Архангельская область,Arkhangelsk region,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Астраханская область,Astrakhan region,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Башкортостан,Republic of Bashkortostan,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Белгородская область,Belgorod region,31.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Брянская область,Bryansk region,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Бурятия,The Republic of Buryatia,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Владимирская область,Vladimir region,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Волгоградская область,Volgograd region,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Вологодская область,Vologda Region,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Воронежская область,Voronezh region,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Дагестан,The Republic of Dagestan,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Еврейская автономная область,Jewish Autonomous Region,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Забайкальский край,Zabaykalsky Krai,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Ивановская область,Ivanovo region,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Ингушетия,The Republic of Ingushetia,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Иркутская область,Irkutsk region,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Кабардино-Балкарская Республика,Kabardino-Balkar Republic,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Калининградская область,Kaliningrad region,39.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-13,Республика Калмыкия,Republic of Kalmykia,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Калужская область,Kaluga region,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Камчатский край,Kamchatka Krai,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Карачаево-Черкесская Республика,Karachay-Cherkess Republic,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Карелия,The Republic of Karelia,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Кемеровская область,Kemerovo region,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Кировская область,Kirov region,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Коми,Komi Republic,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Костромская область,Kostroma region,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Краснодарский край,Krasnodar region,23.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Красноярский край,Krasnoyarsk region,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Крым,Republic of Crimea,82.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Курганская область,Kurgan region,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Курская область,Kursk region,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Ленинградская область,Leningrad region,47.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Липецкая область,Lipetsk region,48.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-03-13,Магаданская область,Magadan Region,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Марий Эл,Mari El Republic,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Мордовия,The Republic of Mordovia,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Москва,Moscow,77.0,5.0,0.0,0.0,26.0,0.0,0.0
2020-03-13,Московская область,Moscow region,50.0,1.0,0.0,0.0,5.0,0.0,0.0
2020-03-13,Мурманская область,Murmansk region,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Нижегородская область,Nizhny Novgorod Region,52.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Новгородская область,Novgorod region,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Новосибирская область,Novosibirsk region,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Омская область,Omsk region,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Оренбургская область,Orenburg region,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Орловская область,Oryol Region,57.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Пензенская область,Penza region,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Пермский край,Perm,59.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Приморский край,Primorsky Krai,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Псковская область,Pskov region,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Ростовская область,Rostov region,61.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Рязанская область,Ryazan Oblast,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Самарская область,Samara Region,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Санкт-Петербург,St. Petersburg,78.0,3.0,0.0,0.0,4.0,0.0,0.0
2020-03-13,Саратовская область,Saratov region,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Саха (Якутия),The Republic of Sakha (Yakutia),14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Сахалинская область,Sakhalin region,65.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Свердловская область,Sverdlovsk region,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Севастополь,Sevastopol,92.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Республика Северная Осетия - Алания,Republic of North Ossetia - Alania,15.0,0.0,0.0,0.0,0.0,0.0,0.0
